,Branch,Branch Long,Branch Lat,Customer,Address Long,Address Lat,Distance (miles),Rank,Customer Priority
118,London,-0.109863,51.481383,119,-0.123596,51.404346,5.36,1.0,3.0
119,London,-0.109863,51.481383,120,-0.156555,51.53096,3.97,1.0,2.0
120,London,-0.109863,51.481383,121,-0.063171,51.559997,5.8,1.0,4.0
121,London,-0.109863,51.481383,122,-0.263672,51.623132,11.83,1.0,16.0
122,London,-0.109863,51.481383,123,-0.299377,51.390637,10.3,1.0,11.0
123,London,-0.109863,51.481383,124,-0.304871,51.376924,11.09,1.0,15.0
124,London,-0.109863,51.481383,125,-0.499878,51.501904,16.86,1.0,22.0
128,Oxford,-1.252441,51.727028,4,-4.64035,50.335819,175.98,1.0,25.0
129,Oxford,-1.252441,51.727028,5,-1.593018,51.289406,33.63,1.0,9.0
131,Oxford,-1.252441,51.727028,7,-1.933594,52.106505,39.16,1.0,11.0
140,Oxford,-1.252441,51.727028,16,-0.615234,52.241256,44.74,1.0,13.0
141,Oxford,-1.252441,51.727028,17,-1.867676,50.708634,75.31,1.0,20.0
142,Oxford,-1.252441,51.727028,18,-2.922363,51.055207,85.75,1.0,22.0
145,Oxford,-1.252441,51.727028,21,-0.791016,51.876491,22.28,1.0,8.0
146,Oxford,-1.252441,51.727028,22,-2.416992,51.957807,52.26,1.0,16.0
166,Oxford,-1.252441,51.727028,42,-2.856445,52.025459,71.53,1.0,19.0
167,Oxford,-1.252441,51.727028,43,-2.087402,51.835778,36.51,1.0,10.0
168,Oxford,-1.252441,51.727028,44,-4.130859,50.833698,139.01,1.0,24.0
169,Oxford,-1.252441,51.727028,45,-3.537598,50.792047,118.17,1.0,23.0
170,Oxford,-1.252441,51.727028,46,-2.570801,50.903033,80.6,1.0,21.0
171,Oxford,-1.252441,51.727028,47,-2.373047,51.508742,50.44,1.0,15.0
172,Oxford,-1.252441,51.727028,48,-1.647949,51.930718,22.01,1.0,7.0
173,Oxford,-1.252441,51.727028,49,-1.318359,51.069017,45.6,1.0,14.0
175,Oxford,-1.252441,51.727028,51,-1.274414,50.875311,58.92,1.0,17.0
176,Oxford,-1.252441,51.727028,52,-0.856934,51.590723,19.41,1.0,6.0
201,Oxford,-1.252441,51.727028,77,-1.164551,51.76784,4.7,1.0,1.0
203,Oxford,-1.252441,51.727028,79,-2.768555,51.930718,66.32,1.0,18.0
207,Oxford,-1.252441,51.727028,83,-1.230469,51.563412,11.36,1.0,2.0
214,Oxford,-1.252441,51.727028,90,-1.054688,51.522416,16.5,1.0,5.0
219,Oxford,-1.252441,51.727028,95,-1.582031,51.781436,14.61,1.0,4.0
225,Oxford,-1.252441,51.727028,101,-2.06543,51.399206,41.67,1.0,12.0
234,Oxford,-1.252441,51.727028,110,-0.986023,51.75594,11.58,1.0,3.0
255,Nottingham,-1.142578,52.948638,6,-2.109375,52.57635,47.96,1.0,18.0
258,Nottingham,-1.142578,52.948638,9,-1.428223,53.357109,30.64,1.0,11.0
259,Nottingham,-1.142578,52.948638,10,-2.988281,53.409532,82.88,1.0,33.0
264,Nottingham,-1.142578,52.948638,15,0.0,53.14677,49.44,1.0,19.0
276,Nottingham,-1.142578,52.948638,27,0.483398,52.762892,69.11,1.0,29.0
278,Nottingham,-1.142578,52.948638,29,-0.549316,53.330873,36.12,1.0,13.0
280,Nottingham,-1.142578,52.948638,31,-1.010742,53.917281,67.22,1.0,28.0
285,Nottingham,-1.142578,52.948638,36,-2.39502,53.683695,72.55,1.0,32.0
287,Nottingham,-1.142578,52.948638,38,-2.570801,53.357109,65.63,1.0,27.0
288,Nottingham,-1.142578,52.948638,39,-2.548828,53.14677,60.06,1.0,23.0
289,Nottingham,-1.142578,52.948638,40,-2.592773,52.86913,60.74,1.0,25.0
290,Nottingham,-1.142578,52.948638,41,-2.658691,52.509535,70.39,1.0,31.0
311,Nottingham,-1.142578,52.948638,62,-1.801758,53.13359,30.25,1.0,10.0
312,Nottingham,-1.142578,52.948638,63,-1.252441,52.776186,12.78,1.0,4.0
313,Nottingham,-1.142578,52.948638,64,-0.944824,52.988337,8.68,1.0,2.0
314,Nottingham,-1.142578,52.948638,65,-1.010742,52.86913,7.78,1.0,1.0
315,Nottingham,-1.142578,52.948638,66,-0.439453,52.961875,29.31,1.0,9.0
316,Nottingham,-1.142578,52.948638,67,-0.703125,52.922151,18.41,1.0,5.0
317,Nottingham,-1.142578,52.948638,68,-0.834961,52.66972,23.19,1.0,6.0
320,Nottingham,-1.142578,52.948638,71,-1.82373,53.735716,61.28,1.0,26.0
321,Nottingham,-1.142578,52.948638,72,-1.362305,53.67068,50.76,1.0,20.0
322,Nottingham,-1.142578,52.948638,73,-0.878906,53.014783,11.9,1.0,3.0
325,Nottingham,-1.142578,52.948638,76,-1.120605,52.549636,27.61,1.0,8.0
327,Nottingham,-1.142578,52.948638,78,-1.647949,52.375599,44.95,1.0,17.0
330,Nottingham,-1.142578,52.948638,81,-0.109863,52.375599,58.72,1.0,22.0
333,Nottingham,-1.142578,52.948638,84,-1.274414,52.509535,30.87,1.0,12.0
336,Nottingham,-1.142578,52.948638,87,-2.06543,53.631611,60.72,1.0,24.0
338,Nottingham,-1.142578,52.948638,89,-1.032715,53.696706,51.94,1.0,21.0
346,Nottingham,-1.142578,52.948638,97,-2.043457,53.159947,40.2,1.0,15.0
347,Nottingham,-1.142578,52.948638,98,-1.73584,52.908902,24.89,1.0,7.0
348,Nottingham,-1.142578,52.948638,99,-0.241699,52.842595,38.3,1.0,14.0
351,Nottingham,-1.142578,52.948638,102,-1.186523,52.348763,41.53,1.0,16.0
354,Nottingham,-1.142578,52.948638,105,-0.461426,53.865486,69.36,1.0,30.0
385,Newcastle,-1.604004,54.965002,11,-2.944336,54.72462,55.91,1.0,10.0
386,Newcastle,-1.604004,54.965002,12,-2.131348,54.622978,31.65,1.0,4.0
387,Newcastle,-1.604004,54.965002,13,-1.428223,54.622978,24.67,1.0,2.0
388,Newcastle,-1.604004,54.965002,14,-1.054688,54.09806,63.89,1.0,11.0
393,Newcastle,-1.604004,54.965002,19,-1.889648,55.453941,35.65,1.0,5.0
394,Newcastle,-1.604004,54.965002,20,-2.548828,54.175297,66.47,1.0,12.0
397,Newcastle,-1.604004,54.965002,23,-1.867676,54.213861,53.02,1.0,9.0
398,Newcastle,-1.604004,54.965002,24,-2.06543,55.229023,25.83,1.0,3.0
399,Newcastle,-1.604004,54.965002,25,-1.779785,54.952386,7.04,1.0,1.0
404,Newcastle,-1.604004,54.965002,30,-0.527344,54.02068,78.34,1.0,17.0
406,Newcastle,-1.604004,54.965002,32,-2.175293,53.981935,71.77,1.0,13.0
407,Newcastle,-1.604004,54.965002,33,-2.702637,54.072283,75.88,1.0,16.0
408,Newcastle,-1.604004,54.965002,34,-3.208008,54.393352,75.35,1.0,15.0
409,Newcastle,-1.604004,54.965002,35,-2.526855,54.826008,37.95,1.0,6.0
411,Newcastle,-1.604004,54.965002,37,-1.867676,53.917281,73.24,1.0,14.0
465,Newcastle,-1.604004,54.965002,91,-1.40625,54.226708,51.68,1.0,8.0
474,Newcastle,-1.604004,54.965002,100,-2.548828,54.584797,45.96,1.0,7.0
